Duration,Pulse,Maxpulse,Calories,,,,,,,,,Duration,Pulse,Maxpulse
60,110,130,409.1,,,,,,,,,60,110,130
60,117,145,479,,,,,,,,,45,117,145
60,103,135,340,,,,,,,,,30,103,135
45,109,175,282.4,,,,,,,,,80,109,175
45,117,148,406,,,,,,,,,20,102,148
60,102,127,300,,,,,,,,,210,104,127
60,110,136,374,,,,,,,,,160,98,136
45,104,134,253.3,,,,,,,,,180,100,134
30,109,133,195.1,,,,,,,,,150,106,133
60,98,124,269,,,,,,,,,300,90,124
60,103,147,329.3,,,,,,,,,90,97,147
60,100,120,250.7,,,,,,,,,120,108,120
60,106,128,345.3,,,,,,,,,270,130,128
60,104,132,379.3,,,,,,,,,15,105,132
60,98,123,275,,,,,,,,,25,92,123
60,98,120,215.2,,,,,,,,,75,101,112
60,100,120,300,,,,,,,,,,93,125
45,90,112,,,,,,,,,,,107,131
60,103,123,323,,,,,,,,,,114,119
45,97,125,243,,,,,,,,,,111,101
60,108,131,364.2,,,,,,,,,,99,126
45,100,119,282,,,,,,,,,,123,118
60,130,101,300,,,,,,,,,,118,129
45,105,132,246,,,,,,,,,,136,115
60,102,126,334.5,,,,,,,,,,121,113
60,100,120,250,,,,,,,,,,115,140
60,92,118,241,,,,,,,,,,153,122
60,103,132,,,,,,,,,,,159,138
60,100,132,280,,,,,,,,,,149,153
60,102,129,380.3,,,,,,,,,,151,139
60,92,115,243,,,,,,,,,,129,146
45,90,112,180.1,,,,,,,,,,83,151
60,101,124,299,,,,,,,,,,80,121
60,93,113,223,,,,,,,,,,150,144
60,107,136,361,,,,,,,,,,95,172
60,114,140,415,,,,,,,,,,152,152
60,102,127,300,,,,,,,,,,137,160
60,100,120,300,,,,,,,,,,124,137
60,100,120,300,,,,,,,,,,116,141
45,104,129,266,,,,,,,,,,112,143
45,90,112,180.1,,,,,,,,,,119,182
60,98,126,286,,,,,,,,,,113,169
60,100,122,329.4,,,,,,,,,,141,170
60,111,138,400,,,,,,,,,,122,157
60,111,131,397,,,,,,,,,,85,103
60,99,119,273,,,,,,,,,,120,107
60,109,153,387.6,,,,,,,,,,125,100
45,111,136,300,,,,,,,,,,,171
45,108,129,298,,,,,,,,,,,168
60,111,139,397.6,,,,,,,,,,,110
60,107,136,380.2,,,,,,,,,,,108
80,123,146,643.1,,,,,,,,,,,184
60,106,130,263,,,,,,,,,,,156
60,118,151,486,,,,,,,,,,,162
30,136,175,238,,,,,,,,,,,149
60,121,146,450.7,,,,,,,,,,,150
60,118,121,413,,,,,,,,,,,167
45,115,144,305,,,,,,,,,,,
20,153,172,226.4,,,,,,,,,,,
45,123,152,321,,,,,,,,,,,
210,108,160,1376,,,,,,,,,,,
160,110,137,1034.4,,,,,,,,,,,
160,109,135,853,,,,,,,,,,,
45,118,141,341,,,,,,,,,,,
20,110,130,131.4,,,,,,,,,,,
180,90,130,800.4,,,,,,,,,,,
150,105,135,873.4,,,,,,,,,,,
150,107,130,816,,,,,,,,,,,
20,106,136,110.4,,,,,,,,,,,
300,108,143,1500.2,,,,,,,,,,,
150,97,129,1115,,,,,,,,,,,
60,109,153,387.6,,,,,,,,,,,
90,100,127,700,,,,,,,,,,,
150,97,127,953.2,,,,,,,,,,,
45,114,146,304,,,,,,,,,,,
90,98,125,563.2,,,,,,,,,,,
45,105,134,251,,,,,,,,,,,
45,110,141,300,,,,,,,,,,,
120,100,130,500.4,,,,,,,,,,,
270,100,131,1729,,,,,,,,,,,
30,159,182,319.2,,,,,,,,,,,
45,149,169,344,,,,,,,,,,,
30,103,139,151.1,,,,,,,,,,,
120,100,130,500,,,,,,,,,,,
45,100,120,225.3,,,,,,,,,,,
30,151,170,300,,,,,,,,,,,
45,102,136,234,,,,,,,,,,,
120,100,157,1000.1,,,,,,,,,,,
45,129,103,242,,,,,,,,,,,
20,83,107,50.3,,,,,,,,,,,
180,101,127,600.1,,,,,,,,,,,
45,107,137,,,,,,,,,,,,
30,90,107,105.3,,,,,,,,,,,
15,80,100,50.5,,,,,,,,,,,
20,150,171,127.4,,,,,,,,,,,
20,151,168,229.4,,,,,,,,,,,
30,95,128,128.2,,,,,,,,,,,
25,152,168,244.2,,,,,,,,,,,
30,109,131,188.2,,,,,,,,,,,
90,93,124,604.1,,,,,,,,,,,
20,95,112,77.7,,,,,,,,,,,
90,90,110,500,,,,,,,,,,,
90,90,100,500,,,,,,,,,,,
90,90,100,500.4,,,,,,,,,,,
30,92,108,92.7,,,,,,,,,,,
30,93,128,124,,,,,,,,,,,
180,90,120,800.3,,,,,,,,,,,
30,90,120,86.2,,,,,,,,,,,
90,90,120,500.3,,,,,,,,,,,
210,137,184,1860.4,,,,,,,,,,,
60,102,124,325.2,,,,,,,,,,,
45,107,124,275,,,,,,,,,,,
15,124,139,124.2,,,,,,,,,,,
45,100,120,225.3,,,,,,,,,,,
60,108,131,367.6,,,,,,,,,,,
60,108,151,351.7,,,,,,,,,,,
60,116,141,443,,,,,,,,,,,
60,97,122,277.4,,,,,,,,,,,
60,105,125,,,,,,,,,,,,
60,103,124,332.7,,,,,,,,,,,
30,112,137,193.9,,,,,,,,,,,
45,100,120,100.7,,,,,,,,,,,
60,119,169,336.7,,,,,,,,,,,
60,107,127,344.9,,,,,,,,,,,
60,111,151,368.5,,,,,,,,,,,
60,98,122,271,,,,,,,,,,,
60,97,124,275.3,,,,,,,,,,,
60,109,127,382,,,,,,,,,,,
90,99,125,466.4,,,,,,,,,,,
60,114,151,384,,,,,,,,,,,
60,104,134,342.5,,,,,,,,,,,
60,107,138,357.5,,,,,,,,,,,
60,103,133,335,,,,,,,,,,,
60,106,132,327.5,,,,,,,,,,,
60,103,136,339,,,,,,,,,,,
20,136,156,189,,,,,,,,,,,
45,117,143,317.7,,,,,,,,,,,
45,115,137,318,,,,,,,,,,,
45,113,138,308,,,,,,,,,,,
20,141,162,222.4,,,,,,,,,,,
60,108,135,390,,,,,,,,,,,
60,97,127,,,,,,,,,,,,
45,100,120,250.4,,,,,,,,,,,
45,122,149,335.4,,,,,,,,,,,
60,136,170,470.2,,,,,,,,,,,
45,106,126,270.8,,,,,,,,,,,
60,107,136,400,,,,,,,,,,,
60,112,146,361.9,,,,,,,,,,,
30,103,127,185,,,,,,,,,,,
60,110,150,409.4,,,,,,,,,,,
60,106,134,343,,,,,,,,,,,
60,109,129,353.2,,,,,,,,,,,
60,109,138,374,,,,,,,,,,,
30,150,167,275.8,,,,,,,,,,,
60,105,128,328,,,,,,,,,,,
60,111,151,368.5,,,,,,,,,,,
60,97,131,270.4,,,,,,,,,,,
60,100,120,270.4,,,,,,,,,,,
60,114,150,382.8,,,,,,,,,,,
30,80,120,240.9,,,,,,,,,,,
30,85,120,250.4,,,,,,,,,,,
45,90,130,260.4,,,,,,,,,,,
45,95,130,270,,,,,,,,,,,
45,100,140,280.9,,,,,,,,,,,
60,105,140,290.8,,,,,,,,,,,
60,110,145,300,,,,,,,,,,,
60,115,145,310.2,,,,,,,,,,,
75,120,150,320.4,,,,,,,,,,,
75,125,150,330.4,,,,,,,,,,,
